isocode,country,ln_maddison_pcgdp2000,gdp00,gpd01,gdp02,gdp03,gdp04,gdp05,gdp06,gdp07,gdp08,gdp09,gdp10,gdp11,gdp12,gdp13,gdp14,gdp15,gdp16,gdp17,gdp18,gdp19,gdp20,gdp21,gdp22,average_gdp_01_22,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,atlantic_distance_minimum_region_n_interaction,atlantic_distance_minimum_region_s_interaction,atlantic_distance_minimum_region_w_interaction,atlantic_distance_minimum_region_e_interaction,atlantic_distance_minimum_region_c_interaction,indian_distance_minimum_region_n_interaction,indian_distance_minimum_region_s_interaction,indian_distance_minimum_region_w_interaction,indian_distance_minimum_region_e_interaction,indian_distance_minimum_region_c_interaction,saharan_distance_minimum_region_n_interaction,saharan_distance_minimum_region_s_interaction,saharan_distance_minimum_region_w_interaction,saharan_distance_minimum_region_e_interaction,saharan_distance_minimum_region_c_interaction,red_sea_distance_minimum_region_n_interaction,red_sea_distance_minimum_region_s_interaction,red_sea_distance_minimum_region_w_interaction,red_sea_distance_minimum_region_e_interaction,red_sea_distance_minimum_region_c_interaction
GNQ,Equatorial Guinea,8.981681824,8.27935813,8.72141441,8.851941467,8.936492921,9.213171798,9.322637148,9.350878184,9.446274219,9.562583934,9.528127701,9.387089019,9.405563246,9.443457697,9.3599668,9.32374144,9.189012931,9.058871951,8.964190901,8.864979825,8.775251411,8.698832156,8.67767829,8.690339733,9.169372777,-0.984412313,4.560218334,0,0,0,0,0,1,0,0,3,10.34204006,5,95,17,2.354589939,0,0.5,1,0,0,0,0,0,1,-13.81551075,0.362766176,-6.907755375,0.862209201,5.577305794,8.556145668,3.462215185,3.515036583,0.346700013,0.210999995,0.0281,0,0,0,0,5.577305794,0,0,0,0,8.556145668,0,0,0,0,3.462215185,0,0,0,0,3.515036583
KEN,Kenya,6.927557945,7.079458839,7.086272758,7.061390357,7.060618933,7.080506781,7.108128985,7.141098371,7.177702748,7.15023443,7.153161881,7.202488957,7.225877498,7.245291824,7.258467566,7.284507465,7.310986943,7.330237145,7.346141464,7.380756244,7.410848476,7.388020084,7.441754542,7.469987914,7.249630018,4.999110222,10.44662857,0,1,0,0,0,0,0,0,2,37.85755157,15,62,5,-0.084053017,0,6,0,1,0,0,0,1,0,-5.279897213,-9.2103405,-6.907755375,0.81931138,11.08334351,2.704583168,3.358859062,1.361329913,0.858799994,0.172000006,0.583,0,0,0,11.08334351,0,0,0,0,2.704583168,0,0,0,0,3.358859062,0,0,0,0,1.361329913,0
LBR,Liberia,6.741700649,6.637817341,6.637188127,6.647993083,6.281245576,6.295097488,6.301515919,6.322609451,6.363636084,6.391890802,6.412016272,6.442230212,6.481733121,6.523253906,6.584735015,6.571138518,6.550598715,6.514800999,6.520001118,6.512356424,6.467950349,6.417359941,6.445434945,6.471574992,6.467052317,4.113622189,10.01004314,1,0,0,0,0,0,0,0,6,-9.307100296,31,95,13,1.651772261,0,14,0,1,0,0,1,0,0,-1.717546821,-9.2103405,-2.12354207,0.322607368,3.776146412,9.77701664,3.594752312,5.227499962,0.908399999,0,0.111,0,0,3.776146412,0,0,0,0,9.77701664,0,0,0,0,3.594752312,0,0,0,0,5.227499962,0,0
LBY,Libya,7.750184059,9.320998529,9.279986976,9.246119282,9.343392489,9.361231457,9.447301503,9.48735602,9.52727744,9.504366859,9.438423844,9.466963084,8.814958115,9.492770415,9.274883558,8.994333836,8.970497628,8.941052442,9.20722714,9.268160767,9.13543057,8.768957305,9.029674559,9.005850714,9.253217536,1.614869714,9.503454208,0,0,0,0,0,0,0,1,32,18.04933929,0,72,1,0.005665791,0,97,1,0,1,0,0,0,0,-13.81551075,3.235895872,-6.907755375,-1.258460999,8.422356606,16.77543449,0.609850824,2.151154041,0.791999996,0.939999998,1.76,8.422356606,0,0,0,0,16.77543449,0,0,0,0,0.609850824,0,0,0,0,2.151154041,0,0,0,0
LSO,Lesotho,7.405495644,6.589175092,6.623749639,6.631932153,6.678778228,6.699404106,6.737495519,6.779251968,6.816901863,6.86485884,6.845171868,6.889791748,6.927568077,6.980655584,6.989110991,6.995852476,7.015565942,7.039123724,6.994841098,6.967379927,6.940581711,6.850387964,6.85668304,6.857144682,6.87034333,-2.302585125,3.912023067,0,1,0,0,0,0,0,0,29,28.2439003,8,42,-9,-4.60517025,0,0,0,1,0,1,0,0,0,-13.81551075,-9.2103405,-3.637529373,-0.152065367,7.202152252,3.034999847,6.63732481,4.845831394,0.254999995,1,0.0304,0,7.202152252,0,0,0,0,3.034999847,0,0,0,0,6.63732481,0,0,0,0,4.845831394,0,0,0
MAR,Morocco,7.885329247,7.574740508,7.635713298,7.659233207,7.706584579,7.738494824,7.756410825,7.818017721,7.838649792,7.880828795,7.904485875,7.925490745,7.965526245,7.981832623,8.008470985,8.021955805,8.051732275,8.044486067,8.081707453,8.100523776,8.118389829,8.033224376,8.099767781,8.101920083,7.941728529,-2.302585125,3.912023067,0,0,1,0,0,0,0,0,33,-6.354249954,0,72,0,1.414962292,0,99,1,0,1,0,0,0,0,-5.472521305,-7.779140472,-6.907755375,1.268198252,5.793966293,13.67561245,1.022595882,4.570610523,0.484100014,0.810000002,0.447,5.793966293,0,0,0,0,13.67561245,0,0,0,0,1.022595882,0,0,0,0,4.570610523,0,0,0,0
MDG,Madagascar,6.559615135,6.161500574,6.189620703,6.02752483,6.091543406,6.113507887,6.130737202,6.154047976,6.180317377,6.21617182,6.146576859,6.124090671,6.111750015,6.114135635,6.110162909,6.116738157,6.12169871,6.134993403,6.147730989,6.153634199,6.171548104,6.072671746,6.104312483,6.117784698,6.130388999,5.363239288,11.35551929,0,0,1,0,0,0,0,0,19,46.72618103,8,71,1,2.107576847,0,3,1,0,0,0,0,1,0,-7.501954079,-9.2103405,-6.907755375,-0.074496999,9.686486244,0.903916121,5.731615067,3.453546762,0.879100025,0.504999995,0.587,0,0,0,9.686486244,0,0,0,0,0.903916121,0,0,0,0,5.731615067,0,0,0,0,3.453546762,0
MLI,Mali,6.735780239,6.322156528,6.434973995,6.434220178,6.489421806,6.472235082,6.502481785,6.514992577,6.516311459,6.530091124,6.544479291,6.56375746,6.563035264,6.525451628,6.51894246,6.555685479,6.584106358,6.609076476,6.62860745,6.643231759,6.658430246,6.614572753,6.613062593,6.618705362,6.553611606,6.520308495,13.05646515,0,0,1,0,0,0,0,0,14,-3.545190096,0,73,8,-4.60517025,0,89,1,0,0,0,1,0,0,-0.874174476,-9.2103405,-6.907755375,-0.180177897,3.897488832,10.79004955,2.262916803,4.310750961,0.690599978,0.115000002,1.24,0,0,3.897488832,0,0,0,0,10.79004955,0,0,0,0,2.262916803,0,0,0,0,4.310750961,0,0
MOZ,Mozambique,7.266827583,5.680963749,5.77673629,5.843334301,5.887058545,5.939798463,5.975108907,6.043968934,6.091756651,6.132068308,6.162968887,6.199631654,6.239215625,6.285979665,6.318897401,6.362411309,6.403306801,6.417915431,6.412923648,6.41771066,6.411758537,6.370440139,6.365515132,6.38074784,6.221933305,6.659775257,12.70124722,0,0,0,1,0,0,0,0,23,35.58900833,13,67,7,1.124864817,0,13,1,0,0,1,0,0,0,-5.648630619,-9.2103405,-6.907755375,-0.020147951,9.264255524,2.185372829,5.267767906,3.298300982,0.693199992,0.843999982,0.802,0,9.264255524,0,0,0,0,2.185372829,0,0,0,0,5.267767906,0,0,0,0,3.298300982,0,0,0
MRT,Mauritania,6.924612522,7.142954211,7.110435491,7.102706141,7.148090301,7.172633068,7.232743465,7.378472924,7.33539524,7.307080018,7.280820295,7.277954679,7.288650964,7.301132963,7.312841531,7.328279178,7.354187546,7.340292526,7.374775259,7.395131413,7.399911711,7.370458597,7.352319199,7.388213885,7.301651998,5.072949409,12.87463665,0,0,1,0,0,0,0,0,18,-10.34284973,0,69,7,-0.311921686,0,99,1,0,0,0,1,0,0,-1.444775939,-9.2103405,-6.907755375,-1.445708275,4.423710346,11.91430092,2.25525713,4.973301888,0.61500001,0.85799998,1.03,0,0,4.423710346,0,0,0,0,11.91430092,0,0,0,0,2.25525713,0,0,0,0,4.973301888,0,0
MUS,Mauritius,9.273503304,8.643125959,8.668152787,8.677230561,8.72755926,8.763677177,8.775375475,8.818220256,8.869355259,8.918207698,8.948165454,8.988627693,9.026992282,9.058582995,9.089213121,9.124958476,9.159875296,9.197085631,9.234808184,9.273548354,9.301728783,9.144507612,9.177726395,9.265821952,9.02928639,-2.302585125,3.912023067,0,1,0,0,0,0,0,0,20,57.79386902,0,74,10,4.555573463,1,13,1,0,0,0,0,1,0,-13.81551075,-9.2103405,-6.907755375,-2.302585125,10.31009579,0.031909551,6.273851871,3.883714199,0.463400006,,0.00186,0,0,0,10.31009579,0,0,0,0,0.031909551,0,0,0,0,6.273851871,0,0,0,0,3.883714199,0
MWI,Malawi,6.5206213,6.044577398,5.969837544,5.96215397,5.992216638,6.01860314,6.023404114,6.041298462,6.10462083,6.14946646,6.200403716,6.23796966,6.257475609,6.247971708,6.272594721,6.299434045,6.299458075,6.296972546,6.309238596,6.325362854,6.351583752,6.332894188,6.333922328,6.317522932,6.206198318,6.968824387,12.33135033,0,1,0,0,0,0,0,0,15,34.30361938,0,66,-1,-4.60517025,0,16,0,1,0,1,0,0,0,-13.81551075,-9.2103405,-6.907755375,0.970665872,9.266990662,2.183153391,4.820800781,2.922141314,0.674399972,0.861000001,0.118,0,9.266990662,0,0,0,0,2.183153391,0,0,0,0,4.820800781,0,0,0,0,2.922141314,0,0,0
NAM,Namibia,8.241439819,8.033580321,8.025015176,8.054634666,8.082015011,8.185305274,8.198259935,8.254603879,8.294476796,8.307266906,8.295919208,8.339510971,8.373540818,8.406577637,8.44426053,8.48609244,8.510304069,8.492991691,8.465096064,8.458388073,8.433076438,8.331388933,8.349669983,8.408110874,8.336618739,-1.465301752,7.080479145,0,0,0,0,0,0,1,0,24,17.21072006,0,35,-4,0.592360854,0,0,0,1,0,1,0,0,0,-0.637034297,-9.2103405,0.236389801,-2.121290684,5.682841778,5.792153835,5.980784893,4.685065746,0.6329,0.663999975,0.824,0,5.682841778,0,0,0,0,5.792153835,0,0,0,0,5.980784893,0,0,0,0,4.685065746,0,0,0
